17;W;1
2;S;1
3;E;1
19;E;1
1;N;2
20;W;2
3;S;2
22;E;2
2;N;3
31;W;3
4;S;3
23;E;3
3;N;4
15;W;4
5;S;4
18;E;4
4;N;5
16;W;5
6;S;5
21;E;5
5;N;6
14;W;6
7;S;6
11;E;6
6;N;7
13;W;7
8;S;7
10;E;7
7;N;8
12;W;8
30;S;8
9;E;8
10;N;9
8;W;9
11;N;10
7;W;10
9;S;10
27;E;10
21;N;11
6;W;11
10;S;11
33;E;11
13;N;12
8;E;12
14;N;13
28;W;13
12;S;13
7;E;13
16;N;14
29;W;14
13;S;14
6;E;14
31;N;15
34;W;15
16;S;15
4;E;15
15;N;16
35;W;16
14;S;16
5;E;16
20;S;17
1;E;17
23;N;18
4;W;18
21;S;18
25;E;18
1;W;19
22;S;19
17;N;20
31;S;20
2;E;20
18;N;21
5;W;21
11;S;21
26;E;21
19;N;22
2;W;22
23;S;22
22;N;23
3;W;23
18;S;23
24;E;23
23;W;24
25;S;24
24;N;25
18;W;25
26;S;25
25;N;26
21;W;26
33;S;26
37;E;26
33;N;27
10;W;27
29;N;28
13;E;28
35;N;29
28;S;29
14;E;29
8;N;30
20;N;31
32;W;31
15;S;31
34;S;32
31;E;32
26;N;33
11;W;33
27;S;33
32;N;34
35;S;34
15;E;34
34;N;35
36;W;35
29;S;35
16;E;35
35;E;36
26;W;37
